epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.73576,0.68103,3.54505,0.9607,0.00647,1,0.28467,0.24435,0.25862,3.42095,0.66488,0,0,0
2,7.69075,0.66957,3.58233,0.9243,0.00651,1,0.28845,0.25224,0.24904,3.417,0.66199,8.41835e-06,8.41835e-06,8.41835e-06
1,3.97142,0.77451,3.51647,0.99861,0.00649,1,0.28467,0.24435,0.25993,3.42111,0.66508,0,0,0
2,7.95971,0.7692,3.55536,0.97592,0.00654,1,0.28951,0.25335,0.24957,3.41803,0.6621,8.41835e-06,8.41835e-06,8.41835e-06
1,270.625,0.40729,2.07458,1.12946,0.96892,0.46822,0.51885,0.48872,0.34369,2.52091,0.61727,0.00035007,0.00035007,0.00035007
2,534.706,0.202,0.9496,0.95596,0.71328,0.55066,0.59722,0.50021,0.5172,1.95923,0.75521,0.000361989,0.000361989,0.000361989
